TXNAME	GENEID_0	chrom_I_337_1154
_1	chrom_I_1150_1415
_106	chrom_I_47464_47576
_107	chrom_I_47572_48493
_108	chrom_I_48489_48989
_109	chrom_I_48985_49002
_110	chrom_I_48998_49152
_111	chrom_I_49148_49507
_112	chrom_I_49503_49554
_113	chrom_I_49550_49819
_114	chrom_I_49815_50089
_115	chrom_I_50085_50263
_116	chrom_I_50259_50305
_117	chrom_I_50301_50932
_118	chrom_I_50928_50989
_119	chrom_I_50985_51593
_120	chrom_I_51589_52059
_121	chrom_I_52055_52326
_122	chrom_I_52322_52960
_123	chrom_I_52956_53137
_124	chrom_I_53133_53379
_125	chrom_I_53375_53472
_126	chrom_I_53468_54022
_127	chrom_I_54018_54280
_128	chrom_I_54276_54483
_129	chrom_I_54479_54532
_130	chrom_I_54528_54911
_131	chrom_I_54907_54925
_132	chrom_I_54921_55027
_133	chrom_I_55023_55764
_134	chrom_I_55760_55793
_135	chrom_I_55789_55937
_136	chrom_I_55933_56155
_137	chrom_I_56151_56409
_138	chrom_I_56405_56708
_139	chrom_I_56704_57193
_140	chrom_I_57189_57264
_141	chrom_I_57260_58070
_142	chrom_I_58066_58146
_143	chrom_I_58142_58697
_144	chrom_I_58693_58854
_145	chrom_I_58850_58887
_146	chrom_I_58883_59007
_147	chrom_I_59003_59059
_148	chrom_I_59055_59344
_149	chrom_I_59340_59650
_150	chrom_I_59646_59868
_151	chrom_I_59864_60121
_152	chrom_I_60117_60134
_153	chrom_I_60130_60687
_154	chrom_I_60683_60723
_155	chrom_I_60719_61163
_156	chrom_I_61159_61403
_157	chrom_I_61399_61725
_158	chrom_I_61721_61761
_159	chrom_I_61757_61828
_160	chrom_I_61824_61940
_161	chrom_I_61936_62105
_162	chrom_I_62101_62343
_163	chrom_I_62339_62539
_164	chrom_I_62535_62543
_165	chrom_I_62539_62840
_166	chrom_I_62836_62849
_167	chrom_I_62845_64677
_168	chrom_I_64673_64848
_169	chrom_I_64844_65180
_170	chrom_I_65176_65234
_171	chrom_I_65230_65288
_172	chrom_I_65284_65501
_173	chrom_I_65497_65704
_174	chrom_I_65700_65840
_175	chrom_I_65836_66216
_176	chrom_I_66212_66645
_177	chrom_I_66641_66712
_178	chrom_I_66708_67192
_179	chrom_I_67188_67296
_180	chrom_I_67292_67315
_181	chrom_I_67311_68069
_182	chrom_I_68065_68280
_183	chrom_I_68276_68753
_184	chrom_I_68749_69301
_185	chrom_I_69297_69508
_186	chrom_I_69504_69752
_187	chrom_I_69748_70285
_188	chrom_I_70281_70882
_189	chrom_I_70878_70950
_190	chrom_I_70946_71425
_191	chrom_I_71421_72116
_192	chrom_I_72112_72161
_193	chrom_I_72157_72305
_194	chrom_I_72301_72497
_195	chrom_I_72493_73545
_196	chrom_I_73541_73822
_197	chrom_I_73818_74471
_198	chrom_I_74467_74779
_199	chrom_I_74775_75213
_200	chrom_I_75209_75611
_201	chrom_I_75607_75815
_202	chrom_I_75811_76352
_203	chrom_I_76348_77634
_204	chrom_I_77630_78917
_205	chrom_I_78913_79263
_206	chrom_I_79259_79339
_207	chrom_I_79335_79387
_208	chrom_I_79383_79709
_209	chrom_I_79705_79741
_210	chrom_I_79737_79901
_211	chrom_I_79897_80052
_212	chrom_I_80048_80798
_213	chrom_I_80794_81002
_214	chrom_I_80998_81594
_215	chrom_I_81590_82252
_216	chrom_I_82248_83045
_217	chrom_I_83041_83578
_218	chrom_I_83574_83822
_219	chrom_I_83818_84001
_220	chrom_I_83997_84118
_221	chrom_I_84114_84409
_222	chrom_I_84405_84813
_223	chrom_I_84809_84951
_224	chrom_I_84947_85106
_225	chrom_I_85102_85435
_226	chrom_I_85431_85455
_227	chrom_I_85451_86228
_228	chrom_I_86224_86399
_229	chrom_I_86395_86630
_230	chrom_I_86626_87217
_231	chrom_I_87213_87667
_232	chrom_I_87663_88024
_233	chrom_I_88020_88510
_234	chrom_I_88506_88965
_235	chrom_I_88961_89609
_236	chrom_I_89605_89802
_237	chrom_I_89798_90353
_238	chrom_I_90349_90391
_239	chrom_I_90387_90957
_240	chrom_I_90953_90966
_241	chrom_I_90962_90978
_242	chrom_I_90974_91152
_243	chrom_I_91148_91645
_244	chrom_I_91641_92103
_245	chrom_I_92099_92958
_246	chrom_I_92954_93585
_247	chrom_I_93581_93705
_248	chrom_I_93701_93909
_249	chrom_I_93905_94103
_250	chrom_I_94099_94129
_251	chrom_I_94125_94517
_252	chrom_I_94513_94768
_253	chrom_I_94764_94918
_254	chrom_I_94914_95173
_255	chrom_I_95169_96072
_256	chrom_I_96068_96097
_257	chrom_I_96093_96311
_258	chrom_I_96307_96506
_259	chrom_I_96502_97122
_260	chrom_I_97118_97768
_261	chrom_I_97764_97859
_262	chrom_I_97855_98117
_263	chrom_I_98113_98531
_264	chrom_I_98527_99601
_265	chrom_I_99597_99886
_266	chrom_I_99882_100871
_267	chrom_I_100867_101749
_268	chrom_I_101745_102474
_269	chrom_I_102470_102711
_270	chrom_I_102707_103470
_271	chrom_I_103466_103531
_272	chrom_I_103527_103567
_273	chrom_I_103563_103962
_274	chrom_I_103958_104337
_275	chrom_I_104333_104795
_276	chrom_I_104791_105019
_277	chrom_I_105015_105484
_278	chrom_I_105480_105625
_279	chrom_I_105621_106040
_280	chrom_I_106036_106113
_281	chrom_I_106109_106267
_282	chrom_I_106263_106448
_283	chrom_I_106444_106495
_284	chrom_I_106491_106666
_285	chrom_I_106662_106848
_286	chrom_I_106844_107170
_287	chrom_I_107166_107480
_288	chrom_I_107476_107842
_289	chrom_I_107838_108346
_290	chrom_I_108342_108702
_291	chrom_I_108698_109877
_292	chrom_I_109873_110087
_293	chrom_I_110083_110782
_294	chrom_I_110778_111308
_295	chrom_I_111304_111356
_296	chrom_I_111352_111531
_297	chrom_I_111527_111713
_298	chrom_I_111709_112029
_299	chrom_I_112025_112236
_300	chrom_I_112232_112896
_301	chrom_I_112892_113543
_302	chrom_I_113539_113627
_303	chrom_I_113623_113924
_304	chrom_I_113920_114120
_305	chrom_I_114116_114647
_306	chrom_I_114643_114673
_307	chrom_I_114669_114763
_308	chrom_I_114759_115085
_309	chrom_I_115081_115565
_310	chrom_I_115561_115802
_311	chrom_I_115798_116032
_312	chrom_I_116028_116551
_313	chrom_I_116547_117332
_314	chrom_I_117328_118052
_315	chrom_I_118048_118654
_316	chrom_I_118650_119732
_317	chrom_I_119728_120352
_318	chrom_I_120348_120686
_319	chrom_I_120682_120955
_320	chrom_I_120951_121027
_321	chrom_I_121023_121120
_322	chrom_I_121116_121213
_323	chrom_I_121209_121303
_324	chrom_I_121299_121351
_325	chrom_I_121347_121467
_326	chrom_I_121463_121663
_327	chrom_I_121659_122308
_328	chrom_I_122304_122725
_329	chrom_I_122721_123389
_330	chrom_I_123385_123675
_331	chrom_I_123671_123799
_332	chrom_I_123795_123808
_333	chrom_I_123804_123977
_334	chrom_I_123973_124309
_335	chrom_I_124305_124625
_336	chrom_I_124621_124896
_337	chrom_I_124892_125542
_338	chrom_I_125538_125546
_339	chrom_I_125542_125939
_340	chrom_I_125935_125962
_341	chrom_I_125958_126012
_342	chrom_I_126008_126062
_343	chrom_I_126058_126455
_344	chrom_I_126451_127116
_345	chrom_I_127112_127254
_346	chrom_I_127250_127443
_347	chrom_I_127439_127748
_348	chrom_I_127744_127784
_349	chrom_I_127780_127858
_350	chrom_I_127854_128095
_351	chrom_I_128091_128209
_352	chrom_I_128205_128439
_353	chrom_I_128435_128978
_354	chrom_I_128974_129059
_355	chrom_I_129055_129144
_356	chrom_I_129140_129263
_357	chrom_I_129259_129331
_358	chrom_I_129327_129969
_359	chrom_I_129965_130592
_360	chrom_I_130588_130880
_361	chrom_I_130876_130957
_362	chrom_I_130953_131193
_363	chrom_I_131189_131234
_364	chrom_I_131230_131324
_365	chrom_I_131320_131726
_366	chrom_I_131722_131940
_367	chrom_I_131936_132276
_368	chrom_I_132272_133058
_369	chrom_I_133054_133247
_370	chrom_I_133243_133561
_371	chrom_I_133557_134477
_372	chrom_I_134473_134598
_373	chrom_I_134594_135060
_374	chrom_I_135056_135673
_375	chrom_I_135669_136484
_376	chrom_I_136480_137243
_377	chrom_I_137239_138114
_378	chrom_I_138110_138344
_379	chrom_I_138340_138428
_380	chrom_I_138424_138732
_381	chrom_I_138728_139011
_382	chrom_I_139007_139021
_383	chrom_I_139017_139054
_384	chrom_I_139050_139459
_385	chrom_I_139455_139942
_386	chrom_I_139938_140164
_387	chrom_I_140160_140274
_388	chrom_I_140270_140360
_389	chrom_I_140356_140510
_390	chrom_I_140506_141157
_391	chrom_I_141153_141220
_392	chrom_I_141216_141345
_393	chrom_I_141341_141369
_394	chrom_I_141365_141621
_395	chrom_I_141617_142285
_396	chrom_I_142281_143742
_397	chrom_I_143738_143796
_398	chrom_I_143792_144850
_399	chrom_I_144846_144889
_400	chrom_I_144885_145359
_401	chrom_I_145355_145481
_402	chrom_I_145477_145546
_403	chrom_I_145542_145618
_404	chrom_I_145614_145997
_405	chrom_I_145993_146456
_406	chrom_I_146452_146473
_407	chrom_I_146469_146959
_408	chrom_I_146955_147195
_409	chrom_I_147191_147242
_410	chrom_I_147238_147401
_411	chrom_I_147397_147833
_412	chrom_I_147829_148348
_413	chrom_I_148344_148441
_414	chrom_I_148437_148473
_415	chrom_I_148469_148614
_416	chrom_I_148610_148954
_417	chrom_I_148950_149017
_418	chrom_I_149013_150485
_419	chrom_I_150481_150519
_420	chrom_I_150515_150669
_421	chrom_I_150665_150706
_422	chrom_I_150702_151642
_423	chrom_I_151638_152968
_424	chrom_I_152964_153220
_425	chrom_I_153216_153626
_426	chrom_I_153622_154067
_427	chrom_I_154063_154215
_428	chrom_I_154211_154252
_429	chrom_I_154248_154937
_430	chrom_I_154933_155027
_431	chrom_I_155023_155306
_432	chrom_I_155302_155450
_433	chrom_I_155446_155507
_434	chrom_I_155503_156182
_435	chrom_I_156178_156859
_436	chrom_I_156855_157600
_437	chrom_I_157596_158480
_438	chrom_I_158476_158882
_439	chrom_I_158878_158994
_440	chrom_I_158990_159228
_441	chrom_I_159224_159540
_442	chrom_I_159536_159603
_443	chrom_I_159599_160118
_444	chrom_I_160114_160223
_445	chrom_I_160219_160427
_446	chrom_I_160423_160598
_447	chrom_I_160594_160799
_448	chrom_I_160795_160806
_449	chrom_I_160802_162243
_450	chrom_I_162239_162327
_451	chrom_I_162323_162463
_452	chrom_I_162459_162478
_453	chrom_I_162474_162858
_454	chrom_I_162854_163075
_455	chrom_I_163071_163091
_456	chrom_I_163087_163177
_457	chrom_I_163173_163336
_458	chrom_I_163332_164458
_459	chrom_I_164454_164813
_460	chrom_I_164809_165235
_461	chrom_I_165231_165777
_462	chrom_I_165773_166015
_463	chrom_I_166011_166847
_464	chrom_I_166843_166879
_465	chrom_I_166875_167339
_466	chrom_I_167335_167970
_467	chrom_I_167966_168351
_468	chrom_I_168347_168449
_469	chrom_I_168445_168719
_470	chrom_I_168715_168982
_471	chrom_I_168978_169059
_472	chrom_I_169055_169487
_473	chrom_I_169483_169540
_474	chrom_I_169536_169758
_475	chrom_I_169754_171185
_476	chrom_I_171181_171498
_477	chrom_I_171494_171948
_478	chrom_I_171944_172096
_479	chrom_I_172092_172270
_480	chrom_I_172266_172389
_481	chrom_I_172385_172544
_482	chrom_I_172540_172616
_483	chrom_I_172612_172811
_484	chrom_I_172807_172944
_485	chrom_I_172940_173162
_486	chrom_I_173158_173898
_487	chrom_I_173894_174324
_488	chrom_I_174320_174573
_489	chrom_I_174569_175230
_490	chrom_I_175226_175744
_491	chrom_I_175740_175898
_492	chrom_I_175894_175994
_493	chrom_I_175990_176236
_494	chrom_I_176232_176404
_495	chrom_I_176400_177115
_496	chrom_I_177111_178282
_497	chrom_I_178278_178338
_498	chrom_I_178334_178348
_499	chrom_I_178344_178559
_500	chrom_I_178555_178712
_501	chrom_I_178708_178824
_502	chrom_I_178820_178853
_503	chrom_I_178849_178984
_504	chrom_I_178980_179017
_505	chrom_I_179013_179494
_506	chrom_I_179490_179735
_507	chrom_I_179731_179819
_508	chrom_I_179815_179937
_509	chrom_I_179933_179965
_510	chrom_I_179961_180332
_511	chrom_I_180328_180380
_512	chrom_I_180376_180549
_513	chrom_I_180545_181079
_514	chrom_I_181075_181618
_515	chrom_I_181614_181654
_516	chrom_I_181650_181705
_517	chrom_I_181701_181889
_518	chrom_I_181885_182051
_519	chrom_I_182047_182786
_520	chrom_I_182782_183510
_521	chrom_I_183506_183522
_522	chrom_I_183518_183694
_523	chrom_I_183690_184043
_524	chrom_I_184039_184380
_525	chrom_I_184376_184666
_526	chrom_I_184662_184715
_527	chrom_I_184711_184735
_528	chrom_I_184731_184845
_529	chrom_I_184841_185045
_530	chrom_I_185041_185057
_531	chrom_I_185053_185078
_532	chrom_I_185074_185123
_533	chrom_I_185119_185195
_534	chrom_I_185191_185237
_535	chrom_I_185233_185494
_536	chrom_I_185490_185865
_537	chrom_I_185861_186794
_538	chrom_I_186790_186951
_539	chrom_I_186947_186963
_540	chrom_I_186959_187322
_541	chrom_I_187318_187329
_542	chrom_I_187325_187437
_543	chrom_I_187433_188040
_544	chrom_I_188036_188233
_545	chrom_I_188229_188491
_546	chrom_I_188487_188737
_547	chrom_I_188733_189124
_548	chrom_I_189120_189578
_549	chrom_I_189574_189865
_550	chrom_I_189861_190865
_551	chrom_I_190861_190897
_552	chrom_I_190893_191006
_553	chrom_I_191002_191058
_554	chrom_I_191054_191192
_555	chrom_I_191188_191291
_556	chrom_I_191287_191402
_557	chrom_I_191398_191489
_558	chrom_I_191485_192119
_559	chrom_I_192115_192635
_560	chrom_I_192631_192722
_561	chrom_I_192718_192887
_562	chrom_I_192883_193372
_563	chrom_I_193368_193568
_564	chrom_I_193564_193925
_565	chrom_I_193921_194258
_566	chrom_I_194254_194310
_567	chrom_I_194306_194522
_568	chrom_I_194518_194682
_569	chrom_I_194678_194899
_570	chrom_I_194895_194946
_571	chrom_I_194942_195464
_572	chrom_I_195460_195953
_573	chrom_I_195949_196490
_574	chrom_I_196486_196739
_575	chrom_I_196735_196885
_576	chrom_I_196881_197244
_577	chrom_I_197240_197662
_578	chrom_I_197658_198507
_579	chrom_I_198503_198749
_580	chrom_I_198745_199031
_581	chrom_I_199027_199359
_582	chrom_I_199355_199596
_583	chrom_I_199592_199882
_584	chrom_I_199878_200316
_585	chrom_I_200312_200579
_586	chrom_I_200575_200748
_587	chrom_I_200744_200813
_588	chrom_I_200809_200884
_589	chrom_I_200880_201286
_590	chrom_I_201282_201645
_591	chrom_I_201641_202127
_592	chrom_I_202123_202145
_593	chrom_I_202141_202196
_594	chrom_I_202192_202259
_595	chrom_I_202255_203252
_596	chrom_I_203248_203952
_597	chrom_I_203948_207743
_598	chrom_I_207739_208486
_599	chrom_I_208482_209266
_600	chrom_I_209262_209294
_601	chrom_I_209290_209757
_602	chrom_I_209753_209893
_603	chrom_I_209889_210411
_604	chrom_I_210407_210734
_605	chrom_I_210730_210942
_606	chrom_I_210938_211847
_607	chrom_I_211843_212488
_608	chrom_I_212484_212808
_609	chrom_I_212804_213209
_610	chrom_I_213205_213559
_611	chrom_I_213555_213787
_612	chrom_I_213783_214229
_613	chrom_I_214225_214427
_614	chrom_I_214423_214852
_615	chrom_I_214848_215196
_616	chrom_I_215192_216337
_617	chrom_I_216333_217278
_618	chrom_I_217274_217571
_619	chrom_I_217567_218020
_620	chrom_I_218016_218386
_621	chrom_I_218382_218934
_622	chrom_I_218930_219678
_623	chrom_I_219674_220477
_624	chrom_I_220473_220501
_625	chrom_I_220497_220811
_626	chrom_I_220807_220939
_627	chrom_I_220935_221263
_628	chrom_I_221259_221365
_629	chrom_I_221361_222210
_630	chrom_I_222206_223919
_631	chrom_I_223915_226383
_632	chrom_I_226379_226575
_633	chrom_I_226571_226972
_634	chrom_I_226968_227256
_635	chrom_I_227252_227267
_636	chrom_I_227263_227779
_637	chrom_I_227775_227841
_638	chrom_I_227837_228615
_639	chrom_I_228611_229125
_640	chrom_I_229121_229333
_642	chrom_II_594_881
_643	chrom_II_877_1010
_644	chrom_II_1006_2519
_645	chrom_II_2515_2835
_646	chrom_II_2831_3216
_647	chrom_II_3212_3522
_648	chrom_II_3518_3532
_649	chrom_II_3528_3625
_650	chrom_II_3621_3924
_651	chrom_II_3920_3930
_652	chrom_II_3926_4308
_653	chrom_II_4304_4897
_654	chrom_II_4893_5710
_655	chrom_II_5706_6143
_656	chrom_II_6139_7170
_657	chrom_II_7166_7218
_658	chrom_II_7214_7473
_659	chrom_II_7469_7696
_660	chrom_II_7692_8941
_661	chrom_II_8937_9245
_662	chrom_II_9241_9624
_663	chrom_II_9620_10162
_664	chrom_II_10158_10222
_665	chrom_II_10218_10435
_666	chrom_II_10431_10822
_667	chrom_II_10818_11051
_668	chrom_II_11047_11508
_669	chrom_II_11504_12463
_670	chrom_II_12459_13202
_671	chrom_II_13198_13434
_672	chrom_II_13430_13444
_673	chrom_II_13440_13484
_674	chrom_II_13480_14514
_675	chrom_II_14510_15318
_676	chrom_II_15314_15531
_677	chrom_II_15527_15543
_678	chrom_II_15539_15711
_679	chrom_II_15707_15855
_680	chrom_II_15851_15975
_681	chrom_II_15971_16290
_682	chrom_II_16286_16966
_683	chrom_II_16962_17145
_684	chrom_II_17141_17253
_685	chrom_II_17249_17834
_686	chrom_II_17830_17990
_687	chrom_II_17986_18369
_688	chrom_II_18365_18725
_689	chrom_II_18721_18903
_690	chrom_II_18899_19122
_691	chrom_II_19118_19182
_692	chrom_II_19178_19247
_693	chrom_II_19243_19358
_694	chrom_II_19354_19449
_695	chrom_II_19445_19602
_696	chrom_II_19598_19651
_697	chrom_II_19647_19731
_698	chrom_II_19727_20414
_699	chrom_II_20410_20612
_700	chrom_II_20608_20930
_701	chrom_II_20926_21195
_702	chrom_II_21191_21564
_703	chrom_II_21560_22333
_704	chrom_II_22329_22861
_705	chrom_II_22857_23140
_706	chrom_II_23136_23773
_707	chrom_II_23769_25200
_708	chrom_II_25196_25497
_709	chrom_II_25493_25744
_710	chrom_II_25740_25909
_711	chrom_II_25905_26362
_712	chrom_II_26358_26371
_713	chrom_II_26367_27094
_714	chrom_II_27090_27121
_715	chrom_II_27117_27927
_716	chrom_II_27923_28164
_717	chrom_II_28160_28529
_718	chrom_II_28525_28569
_719	chrom_II_28565_28604
_720	chrom_II_28600_29155
_721	chrom_II_29151_29608
_722	chrom_II_29604_29796
_723	chrom_II_29792_30029
_724	chrom_II_30025_30365
_725	chrom_II_30361_30383
_726	chrom_II_30379_30536
_727	chrom_II_30532_30802
_728	chrom_II_30798_31169
_729	chrom_II_31165_31293
_730	chrom_II_31289_31336
_731	chrom_II_31332_31500
_732	chrom_II_31496_31570
_733	chrom_II_31566_31885
_734	chrom_II_31881_32133
_735	chrom_II_32129_32652
_736	chrom_II_32648_32718
_737	chrom_II_32714_32736
_738	chrom_II_32732_32772
_739	chrom_II_32768_32908
_740	chrom_II_32904_33279
_741	chrom_II_33275_33295
_742	chrom_II_33291_33523
_743	chrom_II_33519_33607
_744	chrom_II_33603_33819
_745	chrom_II_33815_34400
_746	chrom_II_34396_35044
_747	chrom_II_35040_35051
_748	chrom_II_35047_35252
_749	chrom_II_35248_35423
_750	chrom_II_35419_35486
_751	chrom_II_35482_35822
_752	chrom_II_35818_35904
_753	chrom_II_35900_36231
_754	chrom_II_36227_36476
_755	chrom_II_36472_36594
_756	chrom_II_36590_36987
_757	chrom_II_36983_37586
_758	chrom_II_37582_37675
_759	chrom_II_37671_37796
_760	chrom_II_37792_37962
_761	chrom_II_37958_39254
_762	chrom_II_39250_39344
_763	chrom_II_39340_39474
_764	chrom_II_39470_39672
_765	chrom_II_39668_39896
_766	chrom_II_39892_39908
_767	chrom_II_39904_40187
_768	chrom_II_40183_40389
_769	chrom_II_40385_40648
_770	chrom_II_40644_40905
_771	chrom_II_40901_40936
_772	chrom_II_40932_40993
_773	chrom_II_40989_41246
_774	chrom_II_41242_41276
_775	chrom_II_41272_41350
_776	chrom_II_41346_41387
_777	chrom_II_41383_41705
_778	chrom_II_41701_41733
_779	chrom_II_41729_42710
_780	chrom_II_42706_42801
_781	chrom_II_42797_42805
_782	chrom_II_42801_43070
_783	chrom_II_43066_43105
_784	chrom_II_43101_43261
_785	chrom_II_43257_43413
_786	chrom_II_43409_43638
_787	chrom_II_43634_44403
_788	chrom_II_44399_44712
_789	chrom_II_44708_44868
_790	chrom_II_44864_44976
_791	chrom_II_44972_45007
_792	chrom_II_45003_45833
_793	chrom_II_45829_46143
_794	chrom_II_46139_46728
_795	chrom_II_46724_46839
_796	chrom_II_46835_47446
_797	chrom_II_47442_47647
_798	chrom_II_47643_47993
_799	chrom_II_47989_48170
_800	chrom_II_48166_48225
_801	chrom_II_48221_48347
_802	chrom_II_48343_48885
_803	chrom_II_48881_48967
_804	chrom_II_48963_49194
_805	chrom_II_49190_49277
_806	chrom_II_49273_49997
_807	chrom_II_49993_50488
_808	chrom_II_50484_50592
_809	chrom_II_50588_50758
_810	chrom_II_50754_51070
_811	chrom_II_51066_51295
_812	chrom_II_51291_51475
_813	chrom_II_51471_51637
_814	chrom_II_51633_51763
_815	chrom_II_51759_51892
_816	chrom_II_51888_52598
_817	chrom_II_52594_52914
_818	chrom_II_52910_52984
_819	chrom_II_52980_53170
_820	chrom_II_53166_53272
_821	chrom_II_53268_53394
_822	chrom_II_53390_53494
_823	chrom_II_53490_53829
_824	chrom_II_53825_54364
_825	chrom_II_54360_54423
_826	chrom_II_54419_54867
_827	chrom_II_54863_55180
_828	chrom_II_55176_55698
_829	chrom_II_55694_55739
_830	chrom_II_55735_55931
_831	chrom_II_55927_56481
_832	chrom_II_56477_56494
_833	chrom_II_56490_56585
_834	chrom_II_56581_57610
_835	chrom_II_57606_57796
_836	chrom_II_57792_58314
_837	chrom_II_58310_58829
_838	chrom_II_58825_59281
_839	chrom_II_59277_59377
_840	chrom_II_59373_60210
_841	chrom_II_60206_60562
_842	chrom_II_60558_60654
_843	chrom_II_60650_61134
_844	chrom_II_61130_61649
_845	chrom_II_61645_63146
_846	chrom_II_63142_64606
_847	chrom_II_64602_65001
_848	chrom_II_64997_65719
_849	chrom_II_65715_65777
_850	chrom_II_65773_66080
_851	chrom_II_66076_66697
_852	chrom_II_66693_66757
_853	chrom_II_66753_67229
_854	chrom_II_67225_67637
_855	chrom_II_67633_67784
_856	chrom_II_67780_67995
_857	chrom_II_67991_68843
_858	chrom_II_68839_69386
_859	chrom_II_69382_69591
_860	chrom_II_69587_69629
_861	chrom_II_69625_69974
_862	chrom_II_69970_70387
_863	chrom_II_70383_70505
_864	chrom_II_70501_70805
_865	chrom_II_70801_70895
_866	chrom_II_70891_70922
_867	chrom_II_70918_71021
_868	chrom_II_71017_71047
_869	chrom_II_71043_71059
_870	chrom_II_71055_71682
_871	chrom_II_71678_72132
_872	chrom_II_72128_72680
_873	chrom_II_72676_73092
_874	chrom_II_73088_73253
_875	chrom_II_73249_73603
_876	chrom_II_73599_73790
_877	chrom_II_73786_73812
_878	chrom_II_73808_74304
_879	chrom_II_74300_74363
_880	chrom_II_74359_75202
_881	chrom_II_75198_75327
_882	chrom_II_75323_75633
_883	chrom_II_75629_76095
_884	chrom_II_76091_76462
_885	chrom_II_76458_76654
_886	chrom_II_76650_76867
_887	chrom_II_76863_77243
_888	chrom_II_77239_77349
_889	chrom_II_77345_77684
_890	chrom_II_77680_77950
_891	chrom_II_77946_78240
_892	chrom_II_78236_78383
_893	chrom_II_78379_78882
_894	chrom_II_78878_79045
_895	chrom_II_79041_79141
_896	chrom_II_79137_79706
_897	chrom_II_79702_80144
_898	chrom_II_80140_81147
_899	chrom_II_81143_81861
_900	chrom_II_81857_82429
_901	chrom_II_82425_82573
_902	chrom_II_82569_82916
_903	chrom_II_82912_83055
_904	chrom_II_83051_83509
_905	chrom_II_83505_83904
_906	chrom_II_83900_84570
_907	chrom_II_84566_84950
_908	chrom_II_84946_85309
_909	chrom_II_85305_85440
_910	chrom_II_85436_85524
_911	chrom_II_85520_85607
_912	chrom_II_85603_85613
_913	chrom_II_85609_85683
_914	chrom_II_85679_86218
_915	chrom_II_86214_86362
_916	chrom_II_86358_86648
_917	chrom_II_86644_86721
_918	chrom_II_86717_87053
_919	chrom_II_87049_87280
_920	chrom_II_87276_87577
_921	chrom_II_87573_87739
_922	chrom_II_87735_87743
_923	chrom_II_87739_87845
_924	chrom_II_87841_88674
_925	chrom_II_88670_89016
_926	chrom_II_89012_89095
_927	chrom_II_89091_90140
_928	chrom_II_90136_90244
_929	chrom_II_90240_90792
_930	chrom_II_90788_90951
